ctrhp_1	ctrhp_2	ctrhp_3	CLKhp_1	CLKhp_2	CLKhp_3
chr1_191248_191674	8	14	20	25	13	23
chr1_199782_200265	19	17	33	33	25	32
chr1_778304_779259	59	78	86	87	76	85
chr1_826762_828084	48	63	72	64	50	84
chr1_940298_941169	24	34	33	44	27	39
chr1_959138_959496	16	16	20	19	12	20
chr1_999918_1001028	35	45	75	58	41	44
chr1_1019248_1020745	61	43	81	51	51	60
chr1_1115768_1116919	94	108	134	122	95	110
chr1_1231348_1233377	109	107	142	111	103	124
chr1_1273776_1274525	33	27	48	40	35	33
chr1_1304514_1305329	27	32	32	43	39	45
chr1_1305795_1310762	185	220	282	233	172	236
chr1_1310861_1311870	31	36	45	33	16	23
chr1_1324355_1324825	15	22	33	25	21	38
chr1_1349594_1349991	20	11	24	20	13	24
chr1_1374922_1375881	86	86	95	92	71	85
chr1_1399007_1400057	62	76	93	82	56	77
chr1_1407139_1407619	20	24	30	28	31	26
chr1_1471338_1472050	35	35	31	44	35	41
chr1_1511375_1512739	95	85	90	93	69	78
chr1_1540407_1540850	17	11	20	23	22	18
chr1_1574030_1575809	66	72	82	82	64	72
chr1_1615095_1616678	112	100	146	119	106	127
chr1_1658078_1659956	74	112	104	102	91	91
chr1_1692231_1693933	139	136	201	159	166	170
chr1_1723787_1725015	55	81	86	71	49	70
chr1_1745576_1747368	118	144	155	145	142	161
chr1_1777959_1778742	32	20	32	41	17	25
chr1_1873214_1873579	17	8	20	21	16	15
chr1_1890745_1891445	34	37	32	46	27	54
chr1_1891541_1891810	15	15	14	18	13	13
chr1_1908747_1909434	31	32	35	32	19	27
chr1_2073512_2074215	23	33	22	28	24	33
chr1_2135223_2135778	16	18	31	22	19	24
chr1_2189380_2190252	45	35	39	41	47	44
chr1_2194759_2195536	33	23	33	38	36	41
chr1_2212501_2212951	23	18	24	19	25	17
chr1_2226457_2228108	72	87	125	95	79	100
chr1_2228770_2229877	38	40	62	47	33	36
chr1_2230107_2231340	46	48	60	44	35	62
chr1_2278967_2279738	51	41	52	60	33	47
chr1_2391064_2392143	69	78	84	94	63	94
chr1_2412244_2413236	44	42	61	61	33	56
chr1_2493438_2493925	12	11	17	17	21	20
chr1_2525828_2526939	51	54	70	79	57	59
chr1_2529960_2530748	31	23	33	37	32	30
chr1_2543516_2544285	18	22	43	26	47	27
chr1_2586164_2587110	58	56	81	68	56	80
chr1_2642942_2643614	30	22	40	29	20	34
chr1_3069662_3069993	12	9	18	14	17	17
chr1_3105279_3105962	33	28	49	38	49	34
chr1_3170390_3171066	28	20	26	44	28	38
