ctrhp_1	ctrhp_2	ctrhp_3	CLKhp_1	CLKhp_2	CLKhp_3
chr1_191313_191724	18	25	17	20	19	14
chr1_199781_200417	26	45	40	37	29	29
chr1_623975_624198	10	15	9	11	8	15
chr1_778335_779263	66	106	95	100	78	55
chr1_826792_828151	50	91	86	86	54	57
chr1_858715_859059	14	15	12	12	15	14
chr1_904565_904921	15	22	23	22	7	12
chr1_940005_940744	21	33	34	48	22	37
chr1_941578_942248	20	26	21	27	29	22
chr1_959015_959655	13	20	25	21	27	10
chr1_999639_1001080	44	71	65	91	75	69
chr1_1019187_1020652	41	94	78	79	69	49
chr1_1059461_1060107	14	23	20	28	21	18
chr1_1115746_1116968	101	176	151	172	119	124
chr1_1231370_1233659	97	165	135	163	118	124
chr1_1273547_1274535	42	51	52	57	40	37
chr1_1304278_1306105	41	84	70	86	52	42
chr1_1307355_1309521	97	163	166	141	119	120
chr1_1324350_1325232	41	57	47	57	36	40
chr1_1348978_1349464	15	25	23	26	30	21
chr1_1349559_1350034	15	44	26	31	26	27
chr1_1374796_1375829	66	118	114	125	78	75
chr1_1398846_1399930	66	120	79	113	72	76
chr1_1407078_1407757	19	36	29	39	29	17
chr1_1471373_1472090	27	51	46	41	37	37
chr1_1511447_1512487	67	107	88	112	68	74
chr1_1540482_1540814	12	32	12	21	14	15
chr1_1574155_1575376	44	81	78	96	51	63
chr1_1614936_1616585	93	172	120	171	133	118
chr1_1658373_1659743	57	107	88	90	83	74
chr1_1692346_1693806	142	227	217	227	165	163
chr1_1723873_1725064	49	110	81	97	61	63
chr1_1745505_1747057	129	243	192	219	155	175
chr1_1778130_1778966	28	41	34	39	14	21
chr1_1788111_1788496	14	27	10	15	15	9
chr1_1873214_1873574	11	25	13	24	18	13
chr1_1889887_1891568	61	86	94	93	61	52
chr1_1908607_1909486	26	50	51	46	32	31
chr1_1919159_1919820	18	40	28	33	19	19
chr1_2073497_2074145	19	46	37	41	25	26
chr1_2189335_2190336	34	67	52	67	42	42
chr1_2194730_2195687	22	52	57	54	36	26
chr1_2212479_2213183	26	34	28	41	36	31
chr1_2226993_2228139	57	113	93	107	79	71
chr1_2228673_2229732	27	62	51	43	41	34
chr1_2230022_2231385	26	74	54	69	40	40
chr1_2238591_2239257	18	27	21	25	21	15
chr1_2279029_2279917	47	81	83	69	37	43
chr1_2390884_2392345	72	113	125	120	93	118
chr1_2411783_2413429	50	91	79	87	79	47
chr1_2525768_2528313	81	123	127	173	109	111
chr1_2530187_2531244	29	38	47	42	36	24
chr1_2543463_2544222	22	37	30	51	24	19
chr1_2586080_2587423	64	141	91	123	78	74
chr1_2642418_2643703	35	66	59	56	46	49
chr1_3105354_3105907	30	32	34	47	29	33
chr1_3161285_3161966	12	32	20	39	24	19
chr1_3170311_3171287	31	70	50	55	37	36
chr1_3212075_3212478	18	13	19	16	16	11
chr1_3219186_3219603	12	27	16	30	22	21
chr1_3352346_3353317	31	55	49	47	32	36
chr1_3624285_3625316	70	99	98	109	63	75
chr1_3796045_3796930	43	75	62	63	44	44
chr1_3856596_3857838	54	95	80	111	73	77
chr1_3899624_3901594	146	231	186	217	149	158
chr1_4693432_4693719	13	9	11	12	11	9
chr1_5191409_5192121	18	29	35	32	23	17
chr1_5745068_5745580	14	17	29	27	27	21
chr1_5896718_5897562	33	65	65	76	44	51
chr1_5991530_5993181	86	167	145	149	129	111
chr1_6003787_6004124	13	18	17	17	17	15
chr1_6058618_6059199	24	31	28	31	23	22
chr1_6080310_6080895	24	31	32	28	25	23
chr1_6082496_6082985	17	28	17	21	13	18
chr1_6198972_6200119	48	94	93	118	74	62
chr1_6235467_6236351	33	52	44	52	42	25
chr1_6245035_6245644	18	36	22	23	14	13
chr1_6259989_6260340	16	21	16	17	11	12
chr1_6260443_6261426	41	55	47	49	31	10
chr1_6287200_6287843	22	40	28	30	20	27
chr1_6329374_6329940	14	25	16	25	12	13
chr1_6330169_6331063	32	67	60	62	40	52
chr1_6335791_6336192	11	22	18	22	20	21
chr1_6358755_6359227	14	26	19	19	17	21
chr1_6384903_6385613	21	44	43	40	24	23
chr1_6392604_6394241	74	133	100	112	99	77
chr1_6436987_6437780	43	68	50	57	38	41
chr1_6519710_6520490	27	57	39	38	34	31
chr1_6554145_6554779	24	42	34	36	27	23
chr1_6579349_6580319	52	70	46	66	53	52
chr1_6587096_6587701	13	35	24	36	36	33
chr1_6601761_6603750	70	121	106	109	86	65
